"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","Bad Request Credentials","","Thu Apr 17 14:49:53 IST 2025","passed","Thu Apr 17 14:49:53 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","201","Bad Request Credentials","","Thu Apr 17 14:49:52 IST 2025","passed","Thu Apr 17 14:49:53 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","194","Bad Request Credentials","","Thu Apr 17 14:49:53 IST 2025","passed","Thu Apr 17 14:49:53 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","202","Bad Request Credentials","","Thu Apr 17 14:49:53 IST 2025","passed","Thu Apr 17 14:49:53 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","952","Valid Credentials test","","Thu Apr 17 10:30:24 IST 2025","broken","Thu Apr 17 10:30:25 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","333","Valid Credentials test","","Thu Apr 17 14:49:51 IST 2025","passed","Thu Apr 17 14:49:52 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","186","Valid Credentials test","","Thu Apr 17 10:43:10 IST 2025","broken","Thu Apr 17 10:43:11 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","16","Bad Request Credentials","","Thu Apr 17 10:30:25 IST 2025","broken","Thu Apr 17 10:30:25 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","162","Bad Request Credentials","","Thu Apr 17 10:43:11 IST 2025","broken","Thu Apr 17 10:43:11 IST 2025","","Authentication Endpoint","Bad Request Credentials",""
"","325","Valid Credentials test","","Thu Apr 17 14:49:52 IST 2025","passed","Thu Apr 17 14:49:52 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","2614","Valid Credentials test","","Thu Apr 17 14:49:49 IST 2025","passed","Thu Apr 17 14:49:51 IST 2025","","Authentication Endpoint","Valid Credentials test",""
"","324","Valid Credentials test","","Thu Apr 17 14:49:52 IST 2025","passed","Thu Apr 17 14:49:52 IST 2025","","Authentication Endpoint","Valid Credentials test",""
